"doi","Journal","Publication_year","Publication_year.2","Excluded.abstract.screening","statistical.analysis.and.or.simulations.2","bioinformatic.analysis","additional.comment.on.analysis","Stat_analysis_software","CodePublished","CodePublished.2","CodePublished.3","LinktoCode","BreafDescription","InlineComments","CodeMentioned","CodeMentioned.2","Location_CodeMentioned","LocationShared","LocationShared.2","Repository","FreeSoftware","DataUsed","DataShared.2","DataShared.3","ExtraComments","Second_screener","Changes_after_second_screening","Remarks_on_decisions"
"10.1111/mec.13335","MOLECULAR ECOLOGY",2015,"2015-2016","yes",NA,NA,"opinion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1002/ecs2.1363","ECOSPHERE",2016,"2015-2016","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1111/2041-210X.12968","METHODS IN ECOLOGY AND EVOLUTION",2018,"2018-2019","no","yes","yes","multivariate regression, PCA","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes","open access, dataset used in the illustration is provided with the R package contributed to (ADEGENET), which is, of course, open but the code used to reproduce the simulated data is not available despite that it is written The R script required to reproduce the simulated data and run the analyses are provided in Supplementary Material. R version not provided",NA,NA,NA
"10.1098/rspb.2015.1840","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2015,"2015-2016","no","yes","no",NA,"SAS","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes",NA,NA,NA,NA
"10.1890/14-1947","ECOLOGICAL APPLICATIONS",2016,"2015-2016","no","yes","no","they also develop a model","MATLAB","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","yes","yes","yes",NA,NA,NA,NA
"10.1111/1755-0998.12427","MOLECULAR ECOLOGY RESOURCES",2016,"2015-2016","no","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1111/1365-2435.13099","FUNCTIONAL ECOLOGY",2018,"2018-2019","no","yes","no","regressions, phylogenetic mixed models, glms","R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","no","no","ASReml-R used, which is not free. R packages versions not provided. This is a sort of meta-analysis and the authors argue that they do not need to provide the data because ""no new data are contained in this manuscript"". All statistical information only available in the supplements",NA,NA,NA
"10.1111/mec.14570","MOLECULAR ECOLOGY",2018,"2018-2019","no","yes","yes","glms, permutations, genotyping, pedigree construction, correlations, AIC","R","yes","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.bq868sh","no, and R packages versions not provided","yes","yes, code and script","yes","dataaccessibility","repository","repository","Dryad","yes","yes","yes","yes",NA,NA,NA,NA
"10.1111/mec.13538","MOLECULAR ECOLOGY",2016,"2015-2016","no","yes","yes",NA,"R","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes","yes","yes",NA,NA,NA,NA
"10.1098/rspb.2018.2075","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",2018,"2018-2019","no","yes","no","cox mixed models, glmms, AIC","R","yes","yes","yes","https://datadryad.org/resource/doi:10.5061/dryad.k455v5c","yes","yes","yes, code","yes","dataaccessibility","repository","repository","Dryad","yes","yes","yes","yes","R package version of 1 out of 4 packages not provided",NA,NA,NA
