key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes
el_ayari_hidden_2019,The hidden side of a major marine biogeographic boundary: a wide mosaic hybrid zone at the {Atlantic}-{Mediterranean} divide reveals the complex interaction between natural and genetic barriers in mussels,2019,1,1,HEREDITY,0018-067X,122,6,770--784,"El Ayari, Tahani and El Menif, Najoua Trigui and Hamer, Bojan and Cahill, Abigail E. and Bierne, Nicolas month = jun,",10.1038/s41437-018-0174-y,,,,"The Almeria-Oran Front (AOF) is a recognised hotspot of genetic differentiation in the sea, with genetic discontinuities reported in more than 50 species. The AOF is a barrier to dispersal and an ecological boundary; both can determine the position of these genetic breaks. However, the maintenance of genetic differentiation is likely reinforced by genetic barriers. A general drawback of previous studies is an insufficient density of sampling sites at the transition zone, with a conspicuous lack of samples from the southern coastline. We analysed the fine-scale genetic structure in the mussel Mytilus galloprovincialis using a few ancestry-informative loci previously identified from genome scans. We discovered a 600-km-wide mosaic hybrid zone eastward of the AOF along the Algerian coasts. This mosaic zone provides a new twist to our understanding of the Atlantic-Mediterranean transition because it demonstrates that the two lineages can live in sympatry with ample opportunities to interbreed in a large area, but they hardly do so. This implies that some form of reproductive isolation must exist to maintain the two genetic backgrounds locally cohesive. The mosaic zone ends with an abrupt genetic shift at a barrier to dispersal in the Gulf of Bejaia, Eastern Algeria. Simulations of endogenous or exogenous selection in models that account for the geography and hydrodynamic features of the region support the hypothesis that sister hybrid zones could have been differentially trapped at two alternative barriers to dispersal and/or environmental boundaries, at Almeria in the north and Bejaia in the south. A preponderantly unidirectional north-south gene flow next to the AOF can also maintain a patch of intrinsically maintained genetic background in the south and the mosaic structure, even in the absence of local adaptation. Our results concur with the coupling hypothesis that suggests that natural barriers can explain the position of genetic breaks, while their maintenance depends on genetic barriers."," RAYYAN-INCLUSION: {""Alfredo""=>""Included""}"
thistlethwaite_genomic_2019,Genomic selection of juvenile height across a single-generational gap in {Douglas}-fir,2019,1,1,HEREDITY,0018-067X,122,6,848--863,"Thistlethwaite, Frances R. and Ratcliffe, Blaise and Klapste, Jaroslav and Porth, Ilga and Chen, Charles and Stoehr, Michael U. and El-Kassaby, Yousry A. month = jun,",10.1038/s41437-018-0172-0,,,,"Here, we perform cross-generational GS analysis on coastal Douglas-fir (Pseudotsuga menziesii), reflecting transgenerational selective breeding application. A total of 1321 trees, representing 37 full-sib F-1 families from 3 environments in British Columbia, Canada, were used as the training population for (1) EBVs (estimated breeding values) of juvenile height (HTJ) in the F-1 generation predicting genomic EBVs of HTJ of 136 individuals in the F-2 generation, (2) deregressed EBVs of F-1 HTJ predicting deregressed genomic EBVs of F-2 HTJ, (3) F-1 mature height (HT35) predicting HTJ EBVs in F-2, and (4) deregressed F-1 HT35 predicting genomic deregressed HTJ EBVs in F-2. Ridge regression best linear unbiased predictor (RRBLUP), generalized ridge regression (GRR), and Bayes-B GS methods were used and compared to pedigree-based (ABLUP) predictions. GS accuracies for scenarios 1 (0.92, 0.91, and 0.91) and 3 (0.57, 0.56, and 0.58) were similar to their ABLUP counterparts (0.92 and 0.60, respectively) (using RR-BLUP, GRR, and Bayes-B). Results using deregressed values fell dramatically for both scenarios 2 and 4 which approached zero in many cases. Cross-generational GS validation of juvenile height in Douglas-fir produced predictive accuracies almost as high as that of ABLUP. Without capturing LD, GS cannot surpass the prediction of ABLUP. Here we tracked pedigree relatedness between training and validation sets. More markers or improved distribution of markers are required to capture LD in Douglas-fir. This is essential for accurate forward selection among siblings as markers that track pedigree are of little use for forward selection of individuals within controlled pollinated families."," RAYYAN-INCLUSION: {""Alfredo""=>""Included""}"
staver_grazer_2019,Grazer movements exacerbate grass declines during drought in an {African} savanna,2019,1,1,JOURNAL OF ECOLOGY,0022-0477,107,3,1482--1491,"Staver, A. Carla and Wigley-Coetsee, Corli and Botha, Judith month = may,",10.1111/1365-2745.13106,,,,"Rainfall variability, including drought, consistently translates into variation in grass productivity in savanna ecosystems. These variations in grass availability can impact grazer populations, which can in turn shape grass responses to drought. However, despite clear evidence that grazers move freely in response to forage and water availability, drought ecologists have mostly failed to consider how these landscape-scale processes influence vegetation responses to drought. Here, we ask how rainfall variability and drought, in interaction with population dynamics and movement of large grazers, shape grass layer responses in extant savanna landscapes in Kruger National Park in South Africa. We found that grass biomass was highly responsive to rainfall variability; notably, grass declines during drought were especially severe-even more severe than previously documented elsewhere. Grazing probably contributed, exacerbating drought effects in droughted regions and spatially extending them into non-droughted refugia, where grass biomass also declined. Moreover, the existence of these refugia potentially prevented a grazer population crash. Synthesis. Our current focus on the physiological effects of drought is probably insufficient for understanding vegetation responses to drought. A renewed focus on landscape processes, including animal movement, will be critical to predicting savanna responses to increasingly frequent extreme events."," RAYYAN-INCLUSION: {""Alfredo""=>""Included""}"
abdala.roberts_effects_2019,Effects of early-season insect herbivory on subsequent pathogen infection and ant abundance on wild cotton ({Gossypium} hirsutum),2019,1,1,JOURNAL OF ECOLOGY,0022-0477,107,3,1518--1529,"Abdala-Roberts, Luis and Perez Nino, Biiniza and Moreira, Xoaquin and Parra-Tabla, Victor and Gr and i, Luca and Glauser, Gaetan and Benrey, Betty and Turlings, Ted C. J. month = may,",10.1111/1365-2745.13131,,,,"Plant-induced defences play an important role in mediating interactions between plants, insects and pathogens. Yet, the plant traits underlying these effects, the extended consequences for higher trophic levels (i.e. predators), and the implications for plant growth and reproduction have received little attention. Here, we asked whether simulated early insect leaf damage on wild cotton (Gossypium hirsutum) affected subsequent damage by insect leaf chewers and pathogenic fungi, as well as ant abundance. To address the mechanisms behind such effects, we measured plant defensive traits induced by early leaf damage to determine which inducible traits might determine the effects on plant-associates. We also evaluated whether early damage influenced plant growth and flower production, and if such effects were mediated by subsequent insect herbivory or pathogen infection. We show that simulated early leaf damage reduced damage by subsequent leaf-chewing insects, increased plant fungal infections, but did not affect ant abundance. Leaf defensive traits (lignins and pubescence) were significantly induced by early damage and were negatively associated with insect herbivory and infection severity, but did not account for the effects of early leaf damage on either of these subsequent attackers. In addition, ant abundance was not associated with (or accounted for) subsequent herbivory or infection, suggesting they did not confer plant protection. Finally, early leaf damage negatively affected plant growth and flower production and analyses suggested that the effect on the latter was, at least partly, mediated by increased fungal infections. Synthesis. Overall, these findings show that early herbivory determines the outcome of cotton interactions with subsequent attackers, and such effects have an impact on plant growth and flower output."," RAYYAN-INCLUSION: {""Alfredo""=>""Included""}"
rubalcaba_upscaling_2019,Upscaling {Microclimatic} {Conditions} into {Body} {Temperature} {Distributions} of {Ectotherms,2019,1,1,AMERICAN NATURALIST,0003-0147,193,5,677--687,"Rubalcaba, Juan G. and Gouveia, Sidney F. and Olalla-Tarraga, Miguel A. month = may,",10.1086/702717,,,,"Realistic projections of the biological impacts of climate change require predicting fitness responses to variations in environmental conditions. For ectotherms, this challenge requires methods to scale-up microclimatic information into actual body temperatures, T-b, while dealing with uncertainty regarding individual behaviors and physiological constraints. Here, we propose an information-theoretical model to derive microhabitat selection and T-b distributions of ectotherm populations from microclimatic data. The model infers the most probable allocation of individuals among the available microenvironments and the associated population-level T-b distribution. Using empirical T-b data of 41 species of desert lizards from three independently evolved systems-Western North America, Kalahari Desert, and Western Australia-we show that the model accurately predicts empirical T-b distributions across the three systems. Moreover, the framework naturally provides a way to quantify the importance of thermoregulation in a thermal environment and thereby a measurement for the constraint imposed by the climatic conditions. By predicting T-b distributions of ectotherm populations even without exhaustive information on the underpinning mechanisms, our approach forms a solid theoretical basis for upscaling microclimatic and physiological information into a population-level fitness trait. This scaling process is a first step to reliably project the biological impacts of climate change to broad temporal and spatial scales. Para predecir de manera fiable los impactos bioticos del cambio climatico, es necesario predecir como la eficacia biologica responde a variaciones en las condiciones ambientales. En ectotermos, este reto requiere de metodos que permitan escalar informacion microclimatica a temperaturas corporales reales, T-b, y al mismo tiempo lidiar con la incertidumbre derivada de comportamientos individuales y limitantes fisiologicas. En este trabajo, proponemos un modelo basado en teoria de la informacion que permite calcular la preferencia de microhabitats y distribuciones de T-b de poblaciones de ectotermos a partir de datos microclimaticos. El modelo infiere la distribucion espacial mas probable de los individuos entre los microambientes disponibles y la distribucion de T-b a nivel de poblacion. Utilizando datos empiricos de T-b de 41 especies de lagartos de desierto provenientes de tres sistemas independientes-oeste de Norteamerica, Desierto del Kalahari y oeste de Australia-mostramos que el modelo logra predecir con precision las distribuciones de T-b a traves de los tres sistemas. Ademas de esto, el metodo permite cuantificar la importancia de la termorregulacion en un ambiente termico y con ello, aportar una medida de las restricciones termicas impuestas por las condiciones climaticas. Al predecir la distribucion de T-b de poblaciones de ectotermos, aun en ausencia de informacion exhaustiva de los mecanismos subyacentes, nuestro modelo aporta una base teorica solida para estimar un rasgo relacionado con la eficacia biologica a nivel poblacional a partir de informacion microclimatica y fisiologica. Este es un primer paso para predecir de manera fiable los impactos bioticos del cambio climatico a escalas espaciales y temporales amplias."," RAYYAN-INCLUSION: {""Alfredo""=>""Included""}"
atema_ultralong_2019,Ultralong telomeres shorten with age in nestling great tits but are static in adults and mask attrition of short telomeres,2019,1,1,MOLECULAR ECOLOGY RESOURCES,1755-098X,19,3,648--658,"Atema, Els and Mulder, Ellis and van Noordwijk, Arie J. and Verhulst, Simon month = may,",10.1111/1755-0998.12996,,,,"Telomere length (TL) is increasingly being used as a biomarker of senescence, but measuring telomeres remains a challenge. Within tissue samples, TL varies between cells and chromosomes. Class I telomeres are (presumably static) interstitial telomeric sequences, while terminal telomeres have been divided in shorter (Class II) telomeres and ultralong (Class III) telomeres, and the presence of the latter varies strongly between species. Class II telomeres typically shorten with age, but little is known of Class III telomere dynamics. Using multiple experimental approaches, we show great tits to have ultralong telomeres, and we investigated age effects on Class II and III telomeres using a longitudinal approach (our method excludes Class I telomeres). In adults, TL averaged over the whole distribution did not significantly change with age. However, more detailed analyses showed that Class II TL did shorten with age, and, as in other species, the longest Class II telomeres within individuals shortened more quickly with age. In contrast, Class III TL did not shorten with age within individual adults. Surprisingly, we found the opposite pattern in nestlings: Class III TL shortened significantly with age, while the age effect on Class II TL was close to zero. Thus, Class III TL may provide information on developmental history, while Class II TL provides information on telomere dynamics in adulthood. These findings have practical implications for telomere studies and raise the interesting question of what causes variation in TL dynamics between chromosomes within individuals and how this is related to development."," RAYYAN-INCLUSION: {""Alfredo""=>""Included""}"
ngoma_evolutionary_2019,The evolutionary potential of diet-dependent effects on lifespan and fecundity in a multi-parental population of {Drosophila} melanogaster,2019,1,1,HEREDITY,0018-067X,122,5,582--594,"Ng'oma, Enoch and Fidelis, Wilton and Middleton, Kevin M. and King, Elizabeth G. month = may,",10.1038/s41437-018-0154-2,,,,"The nutritional conditions experienced by a population have a major role in shaping trait evolution in many taxa. Constraints exerted by nutrient limitation or nutrient imbalance can influence the maximal value that fitness components such as reproduction and lifespan attains, and organisms may shift how resources are allocated to different structures and functions in response to changes in nutrition. Whether the phenotypic changes associated with changes in nutrition represent an adaptive response is largely unknown. Further, it is unclear whether the response of fitness components to diet even has the potential to evolve in most systems. In this study, we use an admixed multi-parental population of Drosophila melanogaster reared in three different diet conditions to estimate quantitative genetic parameters for lifespan and fecundity. We find significant genetic variation for both traits in our population and show that lifespan has moderate to high heritabilities within diets. Genetic correlations for lifespan between diets were significantly less than one, demonstrating a strong genotype by diet interaction. These findings demonstrate substantial standing genetic variation in our population that is comparable to natural populations and highlights the potential for adaptation to changing nutritional environments."," RAYYAN-INCLUSION: {""Alfredo""=>""Included""}"
garcia.roa_ecology_2019,The ecology of sexual conflict: {Temperature} variation in the social environment can drastically modulate male harm to females,2019,1,1,FUNCTIONAL ECOLOGY,0269-8463,33,4,681--692,"Garcia-Roa, Roberto and Chirinos, Valeria and Carazo, Pau month = apr,",10.1111/1365-2435.13275,,,,"Sexual conflict is a fundamental driver of male/female adaptations, an engine of biodiversity and a crucial determinant of population viability. Sexual conflict frequently leads to behavioural adaptations that allow males to displace their rivals, but in doing so harm those same females they are competing to access, which can decrease population viability and facilitate extinction. We are far from understanding what factors modulate the intensity of sexual conflict and particularly the role of ecology in mediating underlying behavioural adaptations. In this study, we show that, in Drosophila melanogaster, variations in environmental temperature of +/- 4 degrees C decrease male harm impact on female fitness by between 45\% and 73\%. Rate-sensitive fitness estimates indicate that such modulation results in an average rescue of population productivity of 7\% at colder temperatures and 23\% at hotter temperatures. Our results: (a) show that the thermal ecology of social interactions can drastically modulate male harm via behavioural plasticity, (b) identify a potentially crucial ecological factor to understand how sexual conflict operates in nature and (c), along with recent studies, suggest that behaviourally plastic responses can lessen the negative effect of sexual conflict on population viability in the face of rapid environmental temperature changes."," RAYYAN-INCLUSION: {""Alfredo""=>""Included""}"
france_relationship_2019,The {Relationship} between {Spatial} {Structure} and the {Maintenance} of {Diversity} in {Microbial} {Populations,2019,1,1,AMERICAN NATURALIST,0003-0147,193,4,503--513,"France, Michael T. and Forney, Larry J. month = apr,",10.1086/701799,,,,"Spatial structure is pervasive in the microbial world, yet we know little about how it influences the evolution of microbial populations. It is thought that spatial structure limits the scale of competitive interactions and protracts selective sweeps. This may allow microbial populations to simultaneously explore multiple evolutionary paths. But how structured a microbial population must be before this effect is realized is not known. We used empirical and simulation studies to explore the relationship between spatial structure and the maintenance of diversity. The degree of spatial structure experienced by Escherichia coli metapopulations was manipulated by varying the migration rate between its component subpopulations. Each subpopulation was inoculated with an equal number of two equally fit genotypes, and their frequencies in 12 subpopulations were determined during 150 generations of evolution. We observed that the frequency of the loser genotypes decreased exponentially as the migration rate between the subpopulations was increased and that higher frequencies of the loser genotypes were maintained in structured metapopulations. These results demonstrate that structured microbial populations can evolve along multiple evolutionary trajectories even when migration rates between the subpopulations are relatively high."," RAYYAN-INCLUSION: {""Alfredo""=>""Included""}"
franks_digging_2019,"Digging the optimum pit: antlions, spirals and spontaneous stratification",2019,1,1,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,0962-8452,286,1899,NA,"Franks, Nigel R. and Worley, Alan and Falkenberg, Max and Sendova-Franks, Ana B. and Christensen, Kim month = mar,",10.1098/rspb.2019.0365,,,,"Most animal traps are constructed from self-secreted silk, so antlions are rare among trap builders because they use only materials found in the environment. We show how antlions exploit the properties of the substrate to produce very effective structures in the minimum amount of time. Our modelling demonstrates how antlions: (i) exploit self-stratification in granular media differentially to expose deleterious large grains at the bottom of the construction trench where they can be ejected preferentially, and (ii) minimize completion time by spiral rather than central digging. Both phenomena are confirmed by our experiments. Spiral digging saves time because it enables the antlion to eject material initially from the periphery of the pit where it is less likely to topple back into the centre. As a result, antlions can produce their pits-lined almost exclusively with small slippery grains to maximize powerful avalanches and hence prey capture-much more quickly than if they simply dig at the pit's centre. Our demonstration, for the first time to our knowledge, of an animal using self-stratification in granular media exemplifies the sophistication of extended phenotypes even if they are only formed from material found in the animal's environment."," RAYYAN-INCLUSION: {""Alfredo""=>""Included""}"
